	pixel_count	success	i	state_diff	state_diff_restore_mag	state_diff_restore_ang	meas_diff	meas_diff_restore	index	injection	restore_injection	estimated - real
83	1	True	1	[ 0.01249117]	[ 0.00012052]	6.629712120230133	[ 0.01950732]	[ 0.49426494]	1	-0.009999789467174126	-0.199940790501413	[[ 0.48357061  0.22234715  0.8812356   0.50865636  0.23263552  0.87420772]]
84	1	True	2	[ 0.01342162]	[ 0.00022088]	5.376660260213489	[ 0.02153682]	[ 0.54214765]	2	-0.009999974264006012	-0.2499993566001503	[[ 0.12290833  0.50823336  0.9111273   0.12239084  0.54706054  0.92903682]]
85	1	True	1	[ 0.01343611]	[ 0.00012497]	6.984218910234965	[ 0.03275429]	[ 0.71661863]	1	0.009999803865858919	0.1999410783959161	[[ 0.38614238  0.52945308  0.03915613  0.39865652  0.51286293  0.06193628]]
86	1	True	2	[ 0.01402479]	[ 0.00023401]	5.557493591548257	[ 0.03667199]	[ 1.2070141]	2	-0.009999777693285928	-0.2499944423321482	[[ 0.17381959  0.58537673  0.88980101  0.17078687  0.54277622  0.91547812]]
87	1	True	2	[ 0.01375485]	[ 0.00022892]	5.4337460373917175	[ 0.02068114]	[ 0.60026673]	2	-0.009999647120215867	-0.2499911780053967	[[ 0.7462571   1.10719553  1.66972536  0.73091602  1.16169681  1.69663534]]
88	1	True	1	[ 0.01350168]	[ 0.00011618]	6.932915454500604	[ 0.03339794]	[ 1.11746434]	1	-0.009999931042177224	-0.19994362122281245	[[ 0.15332251  1.2277593   0.78895446  0.11099618  1.19705277  0.76364964]]
89	1	True	1	[ 0.01343254]	[ 0.00011367]	6.844903088641466	[ 0.05316235]	[ 1.41870475]	1	0.009998794783951815	0.19992090230772452	[[ 0.0383527   1.41336434  0.45869096  0.05991301  1.3875208   0.43152088]]
90	1	True	2	[ 0.014252]	[ 0.00023876]	5.601114055937851	[ 0.05821088]	[ 1.183581]	2	-0.009999939440266954	-0.24999848600667385	[[ 0.29646222  0.08067215  1.43241008  0.29528911  0.12890947  1.45428805]]
91	1	True	2	[ 0.01477373]	[ 0.0002517]	5.726541650261796	[ 0.03052145]	[ 0.47914388]	2	0.009999127024196456	0.2499781756049114	[[ 0.88332848  0.675657    1.75054373  0.88315652  0.71825529  1.78171036]]
92	1	True	1	[ 0.01316231]	[ 0.00012224]	6.98002546013275	[ 0.04992191]	[ 0.85332587]	1	-0.009999663920469876	-0.1999382802578349	[[ 1.44427493  0.26643389  0.28319988  1.40761865  0.27968124  0.25509311]]
93	1	True	2	[ 0.01389981]	[ 0.00023164]	5.618649882391904	[ 0.01829546]	[ 0.44471206]	2	-0.009999999708359133	-0.24999999270897832	[[ 1.06864744  0.13660639  0.63915026  1.0694675   0.17548717  0.65682447]]
94	1	True	1	[ 0.01218452]	[ 0.0001161]	6.504066370123335	[ 0.04122687]	[ 0.91941412]	1	0.009999869135844091	0.19994238343663462	[[ 0.40542677  0.47719312  0.78326025  0.41177161  0.49986131  0.77364081]]
95	1	True	2	[ 0.01366293]	[ 0.00022694]	5.424933969799654	[ 0.01245775]	[ 0.33871724]	2	-0.009999697146160478	-0.24999242865401194	[[ 0.09913147  0.65211458  1.13676526  0.09084772  0.6903782   1.15326341]]
96	1	True	2	[ 0.01408975]	[ 0.0002352]	5.552187896405707	[ 0.03904073]	[ 0.87297189]	2	0.0099997089915787	0.24999272478946752	[[ 0.76814723  0.1108359   1.55827546  0.74948265  0.15952336  1.57928436]]
97	1	True	1	[ 0.0129929]	[ 0.00012121]	6.902852486752836	[ 0.03847102]	[ 0.95459923]	1	-0.009999734286265808	-0.19993968718674165	[[ 0.32176622  0.08318278  0.7192084   0.34308832  0.09513026  0.70031543]]
98	1	True	2	[ 0.01438439]	[ 0.00024168]	5.701195128279144	[ 0.02158936]	[ 0.68506182]	2	-0.009996570466325445	-0.24991426165813613	[[ 0.54601528  0.09817972  1.1230216   0.53064117  0.14385769  1.14594366]]
99	1	True	2	[ 0.01444977]	[ 0.00024255]	5.6607820138639795	[ 0.04175016]	[ 1.1400017]	2	-0.009999592924782683	-0.24998982311956708	[[ 0.42780587  0.06091645  1.54148403  0.42908297  0.01270889  1.5646851 ]]
