	pixel_count	success	i	state_diff	state_diff_restore_mag	state_diff_restore_ang	meas_diff	meas_diff_restore	index	injection	restore_injection
34	1	[False]	2	[ 0.15020822]	1.677962946469066e-06	-59.6935248113656	[ 0.11232382]	[ 1.22809143]	2	-0.09999736006318635	-2.4999340015796587
35	1	[False]	2	[ 0.1325894]	1.3528382040704004e-06	-53.20529138586014	[ 0.07471567]	[ 1.02568897]	2	-0.09999678100840957	-2.499919525210239
36	1	[False]	1	[ 0.13452595]	4.39915517493236e-07	70.01731186344274	[ 0.06889586]	[ 0.67254709]	1	0.09999749432187273	1.9993999002186837
37	1	[False]	2	[ 0.14220174]	1.6003348774636971e-06	-55.16468461816139	[ 0.06625554]	[ 0.7260905]	2	-0.0999968738132997	-2.4999218453324925
38	1	[False]	2	[ 0.15263432]	1.7337918567640645e-06	-60.26849444914958	[ 0.11268433]	[ 1.09517073]	2	-0.09999918746491172	-2.499979686622793
39	1	[False]	1	[ 0.13155583]	4.024730944203502e-07	-70.01282469974286	[ 0.08764272]	[ 0.82853219]	1	-0.09999944499894041	-1.9994389030313136
40	1	[False]	2	[ 0.1360212]	1.4140737640131022e-06	-54.30485662967873	[ 0.08956878]	[ 1.03514658]	2	-0.09999933854016438	-2.4999834635041096
41	1	[False]	2	[ 0.13644773]	1.4152929406009193e-06	-54.55539925846934	[ 0.08781293]	[ 1.05843969]	2	-0.0999959912329035	-2.4998997808225876
42	1	[False]	2	[ 0.13615389]	1.4139312918821584e-06	-54.377845007434466	[ 0.09132886]	[ 1.09323973]	2	-0.09999707848036793	-2.4999269620091984
43	1	[False]	2	[ 0.14123373]	1.5544736152243543e-06	-55.37787253355856	[ 0.09265549]	[ 0.9669437]	2	-0.09999897925179727	-2.499974481294932
44	1	[False]	2	[ 0.13830262]	1.5019835972051212e-06	-54.31497337788977	[ 0.09107575]	[ 0.96456723]	2	-0.0999871134454951	-2.4996778361373777
45	1	[False]	1	[ 0.12858823]	3.701762527740905e-07	-68.99591131789343	[ 0.08411051]	[ 0.84341005]	1	-0.099992193945248	-1.9992939218382606
46	1	[False]	2	[ 0.14456858]	1.6295465576660724e-06	-56.403188899023846	[ 0.10381451]	[ 1.11200966]	2	-0.09999543831563967	-2.4998859578909918
47	1	[False]	2	[ 0.14959808]	1.7120848485168987e-06	-58.57408121214518	[ 0.1003676]	[ 1.14760158]	2	-0.09999759591258804	-2.499939897814701
48	1	[False]	1	[ 0.13130538]	3.9805773644650193e-07	-69.89098765361807	[ 0.10362357]	[ 0.74852158]	1	-0.09999961611938538	-1.9994423244990505
49	1	[False]	2	[ 0.15270118]	1.7631489160627907e-06	-59.69095144927809	[ 0.1087461]	[ 1.01938645]	2	-0.09999606397546902	-2.4999015993867255
50	1	[False]	2	[ 0.14913751]	1.727356129742402e-06	57.659555741249484	[ 0.09037479]	[ 0.90547844]	2	0.09999528783115044	2.499882195778761
51	1	[False]	2	[ 0.13985807]	1.5020915391601997e-06	-55.3387372454496	[ 0.07705731]	[ 0.83654691]	2	-0.09999961160425612	-2.499990290106403
52	1	[False]	2	[ 0.1415772]	1.5561707052684728e-06	-55.605163842492225	[ 0.0825661]	[ 0.96278423]	2	-0.099997400927846	-2.4999350231961497
53	1	[False]	2	[ 0.13674334]	1.4169722038916945e-06	-54.630848580153966	[ 0.09469763]	[ 1.13906893]	2	-0.09999719486408326	-2.4999298716020815
54	1	[False]	2	[ 0.13361247]	1.3372040309737403e-06	-54.017547056991994	[ 0.07855363]	[ 0.84925102]	2	-0.09999440875574642	-2.4998602188936605
55	1	[False]	2	[ 0.14629254]	1.6611441856299896e-06	-56.80366106691101	[ 0.09071771]	[ 1.01579538]	2	-0.09999939016296101	-2.4999847540740254
56	1	[False]	1	[ 0.13487257]	4.447936958033945e-07	70.17154848055314	[ 0.05684317]	[ 0.55168281]	1	0.09999756042620278	1.999401221941711
57	1	[False]	2	[ 0.15009551]	1.671782436245251e-06	-59.5923173657988	[ 0.09278104]	[ 1.04815161]	2	-0.09999770373818703	-2.499942593454676
58	1	[False]	2	[ 0.14259206]	1.560677481586988e-06	-56.00834326889668	[ 0.08947245]	[ 1.01970931]	2	-0.09999310330261638	-2.4998275825654095
59	1	[False]	2	[ 0.13216458]	1.3408443444820395e-06	-53.100923426182895	[ 0.08514744]	[ 1.06081317]	2	-0.09999970916218552	-2.499992729054638
60	1	[False]	2	[ 0.13982323]	1.5125814399207649e-06	-55.116217061632064	[ 0.08697258]	[ 0.98561807]	2	-0.09999687076606896	-2.499921769151724
61	1	[False]	2	[ 0.1427339]	1.5549320899624467e-06	-56.407135428194366	[ 0.09790798]	[ 1.14601182]	2	-0.09999653536750078	-2.4999133841875194
62	1	[False]	1	[ 0.13207521]	4.121006607104341e-07	69.96099372884173	[ 0.10362045]	[ 0.82119954]	1	0.09999983819588981	1.9994467648077183
63	1	[False]	1	[ 0.13411078]	4.3579632225845323e-07	-69.77609712072045	[ 0.1057937]	[ 0.7868943]	1	-0.09999957357636055	-1.9994414738725406
64	1	[False]	2	[ 0.14431958]	1.6125273751040507e-06	-56.55920041431334	[ 0.10249368]	[ 1.08677426]	2	-0.09999656292248706	-2.4999140730621763
65	1	[False]	2	[ 0.13472424]	1.4029276334007623e-06	-53.67585298021286	[ 0.10606751]	[ 1.27070803]	2	-0.09999923695807261	-2.4999809239518154
66	1	[False]	1	[ 0.13128397]	4.0483784914225595e-07	-69.49864476660669	[ 0.10113193]	[ 0.8563457]	1	-0.09999963424079737	-1.9994426868276225
67	1	[False]	1	[ 0.13168049]	3.997334323166295e-07	-70.14700909564576	[ 0.10292648]	[ 0.93439011]	1	-0.09999958327194047	-1.9994416677308133
68	1	[False]	2	[ 0.13531443]	1.4144753799837626e-06	-53.88550027015646	[ 0.09421936]	[ 1.00570775]	2	-0.09998977377994861	-2.499744344498715
69	1	[False]	2	[ 0.13793325]	1.418158077130384e-06	-55.40596458634537	[ 0.10085727]	[ 1.1504316]	2	-0.09999830110972484	-2.499957527743121
70	1	[False]	2	[ 0.14364004]	1.6124576902738388e-06	-56.053616822751174	[ 0.09797346]	[ 1.0160465]	2	-0.0999990060929443	-2.4999751523236076
71	1	[False]	1	[ 0.13393271]	4.27502202441707e-07	-70.58234833704624	[ 0.09026394]	[ 0.90721066]	1	-0.0999991413323082	-1.9994328313688357
72	1	[False]	2	[ 0.13865867]	1.4825156435112444e-06	-54.86182758790469	[ 0.08697592]	[ 0.98787911]	2	-0.09999325821138116	-2.499831455284529
73	1	[False]	1	[ 0.13299575]	4.149060030742859e-07	-70.4100477935568	[ 0.10409971]	[ 0.93185684]	1	-0.09999960135707364	-1.9994420293340085
74	1	[False]	2	[ 0.14233449]	1.4772165035058333e-06	-57.48022319872198	[ 0.09971846]	[ 0.9519073]	2	-0.09999969264288387	-2.4999923160720967
75	1	[False]	2	[ 0.13976341]	1.4694872690493064e-06	-55.80048355900591	[ 0.11630533]	[ 1.27941575]	2	-0.09999614783391592	-2.4999036958478977
76	1	[False]	1	[ 0.1322096]	4.066663465416715e-07	70.19140035554034	[ 0.09629631]	[ 0.77367954]	1	0.09999934478350897	1.9994368992738696
77	1	[False]	2	[ 0.13695382]	1.43807876240604e-06	-54.482951064860174	[ 0.08266849]	[ 0.91962124]	2	-0.09999108959565528	-2.4997772398913822
78	1	[False]	2	[ 0.14141168]	1.5608146525411782e-06	-55.441537412853414	[ 0.08943885]	[ 0.96736065]	2	-0.09999913356769646	-2.4999783391924115
79	1	[False]	2	[ 0.14475197]	1.6600033322815559e-06	-55.87422360023592	[ 0.08946261]	[ 0.96111849]	2	-0.0999962897384689	-2.4999072434617227
80	1	[False]	2	[ 0.14867099]	1.7212651682662333e-06	-57.56798666495064	[ 0.10557783]	[ 1.10740826]	2	-0.09999945006647745	-2.4999862516619364
81	1	[False]	2	[ 0.15459599]	1.765978897860616e-06	60.9676637484568	[ 0.08936871]	[ 1.09628455]	2	0.09999965432684832	2.499991358171208
82	1	[False]	2	[ 0.14200763]	1.5571959606496275e-06	-55.91660251313961	[ 0.10333722]	[ 1.15147306]	2	-0.09999815199119658	-2.4999537997799144
83	1	[False]	1	[ 0.12558106]	3.766034818996397e-07	-66.60164598212572	[ 0.0802309]	[ 0.72324489]	1	-0.09999986640144136	-1.9994473287636187
84	1	[False]	2	[ 0.13470615]	1.3868442562419309e-06	-53.91434706486402	[ 0.07907593]	[ 0.88824102]	2	-0.0999992736668733	-2.4999818416718327
85	1	[False]	2	[ 0.13458587]	1.3727745198262192e-06	-54.18709050808787	[ 0.09351379]	[ 1.1138311]	2	-0.0999973644129355	-2.4999341103233874
86	1	[False]	2	[ 0.14074227]	1.5056657791185593e-06	-55.715995354548916	[ 0.09468898]	[ 1.19638758]	2	-0.09999719849938836	-2.499929962484709
87	1	[False]	2	[ 0.13831276]	1.49006446076916e-06	-54.55339671431456	[ 0.08975578]	[ 1.14586403]	2	-0.09999764625288667	-2.4999411563221665
88	1	[False]	1	[ 0.13489842]	4.523862159995279e-07	69.393373296102	[ 0.06495506]	[ 0.7676644]	1	0.09999858085534319	1.9994216249121588
89	1	[False]	1	[ 0.13466208]	4.604000983414582e-07	68.67400466232348	[ 0.06467808]	[ 0.8604275]	1	0.09999881858036064	1.9994263781050203
90	1	[False]	2	[ 0.14321956]	1.5831000162328512e-06	-56.22711437579696	[ 0.09132446]	[ 1.02545159]	2	-0.09999763260257542	-2.4999408150643854
91	1	[False]	2	[ 0.14788127]	1.7020110825175589e-06	-57.32585228163247	[ 0.09799883]	[ 1.07198994]	2	-0.09999822921451548	-2.499955730362887
92	1	[False]	2	[ 0.13228467]	1.293837291080953e-06	-53.82655284264363	[ 0.08668754]	[ 1.03426579]	2	-0.09999570972030365	-2.4998927430075915
93	1	[False]	2	[ 0.1399226]	1.439650797113328e-06	-56.48819524268827	[ 0.08835084]	[ 0.82007615]	2	-0.09999986889090695	-2.499996722272674
94	1	[False]	1	[ 0.12306491]	3.5460643788025566e-07	-65.62102287004636	[ 0.08387431]	[ 0.64635792]	1	-0.09999961750860306	-1.9994423522757634
95	1	[False]	2	[ 0.13736297]	1.4561298567218387e-06	-54.46408125072064	[ 0.08664734]	[ 0.96089016]	2	-0.09999995871973799	-2.4999989679934496
96	1	[False]	2	[ 0.14177872]	1.548652476374134e-06	-55.75944081571878	[ 0.0994383]	[ 1.19022171]	2	-0.09999118398290417	-2.499779599572604
97	1	[False]	1	[ 0.13057183]	3.996565851177456e-07	-69.27178611925903	[ 0.09423956]	[ 0.89355763]	1	-0.09999857917337701	-1.999421591282086
98	1	[False]	2	[ 0.14465931]	1.5858841772495825e-06	-57.29980132077818	[ 0.09747492]	[ 0.99159994]	2	-0.09999945606013066	-2.4999864015032665
99	1	[False]	2	[ 0.14480969]	1.6185097324086847e-06	-56.67710441580446	[ 0.09418046]	[ 1.12003503]	2	-0.09999669144269899	-2.4999172860674745
