	pixel_count	success	i	state_diff	state_diff_restore_mag	state_diff_restore_ang	meas_diff	meas_diff_restore	index	injection	restore_injection
17	1	[False]	2	[ 0.01375424]	1.3517162772536538e-08	-5.619583562605683	[ 0.03181321]	[ 0.44995466]	2	-0.009999590370133486	-0.24998975925333713
18	1	[False]	1	[ 0.01332538]	4.266196904481342e-09	6.951806158527691	[ 0.03469816]	[ 0.46031159]	1	0.009999962704367427	0.19994425429247445
19	1	[False]	1	[ 0.01332455]	4.289942790176556e-09	-6.937048165745175	[ 0.02924185]	[ 0.44333181]	1	-0.009999834823415727	-0.19994169737678572
20	1	[False]	2	[ 0.0136986]	1.4668897279545616e-08	-5.404511114172621	[ 0.02271137]	[ 0.28821074]	2	-0.009999753313175444	-0.2499938328293861
21	1	[False]	1	[ 0.0131584]	3.9926767029667835e-09	-7.010473239990391	[ 0.03121359]	[ 0.30163395]	1	-0.009999805489360391	-0.1999411108570163
22	1	[False]	2	[ 0.01420045]	1.464769867666483e-08	-5.73674237147715	[ 0.02285592]	[ 0.25211781]	2	-0.00999981431505987	-0.24999535787649674
23	1	[False]	2	[ 0.01487218]	1.7231884828828764e-08	-5.760720630988687	[ 0.01827262]	[ 0.13641934]	2	-0.009999842858044793	-0.24999607145111982
24	1	[False]	1	[ 0.01324586]	4.120354525008009e-09	7.026707208307353	[ 0.04166765]	[ 0.3588554]	1	0.009999989487514068	0.1999447898081
25	1	[False]	2	[ 0.01340183]	1.3725041465737637e-08	-5.364988794550218	[ 0.030831]	[ 0.23474596]	2	-0.009999886503046463	-0.24999716257616159
26	1	[False]	2	[ 0.0144206]	1.604973315716767e-08	-5.655902759432322	[ 0.02905487]	[ 0.31608041]	2	-0.00999977058974018	-0.2499942647435045
27	1	[False]	2	[ 0.01396079]	1.410322377492246e-08	-5.66297958211942	[ 0.0361901]	[ 0.35784136]	2	-0.009999600673456278	-0.24999001683640695
28	1	[False]	2	[ 0.01507957]	1.7057935269296436e-08	5.916770487490577	[ 0.04974202]	[ 0.58267246]	2	0.009999796691107071	0.24999491727767678
